rikishi1,odds1,rikishi2,odds2,ts,basho
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:00:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:00:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:05:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:05:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:05:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:06:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:06:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:06:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:10:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:10:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:10:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:11:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:11:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:11:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:15:11Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:15:11Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:15:11Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:16:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:16:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:16:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:20:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:20:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:20:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:21:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:21:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:21:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:25:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:25:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:25:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:26:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:26:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:26:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:30:13Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:30:13Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:30:13Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:31:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:31:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:31:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:35:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:35:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:35:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:36:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:36:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:36:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:40:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:40:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:40:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:41:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:41:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:41:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:45:11Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:45:11Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:45:11Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:46:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:46:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:46:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:50:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:50:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:50:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:51:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:51:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:51:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:55:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:55:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:55:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T01:56:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T01:56:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T01:56:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:00:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:00:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:00:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:01:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:01:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:01:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:05:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:05:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:05:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:06:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:06:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:06:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:10:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:10:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:10:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:11:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:11:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:11:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:15:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:15:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:15:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:16:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:16:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:16:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:20:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:20:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:20:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:21:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:21:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:21:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:25:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:25:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:25:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:26:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:26:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:26:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:30:13Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:30:13Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:30:13Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:31:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:31:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:31:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:35:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:35:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:35:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:36:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:36:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:36:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:40:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:40:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:40:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:41:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:41:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:41:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:45:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:45:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:45:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:46:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:46:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:46:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:50:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:50:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:50:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:50:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:50:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:50:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:55:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:55:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:55:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T02:56:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T02:56:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T02:56:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:00:11Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:00:11Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:00:11Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:00:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:00:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:00:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:05:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:05:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:05:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:06:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:06:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:06:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:10:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:10:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:10:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:10:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:10:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:10:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:15:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:15:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:15:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:16:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:16:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:16:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:20:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:20:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:20:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:21:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:21:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:21:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:25:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:25:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:25:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:26:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:26:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:26:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:30:13Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:30:13Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:30:13Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:31:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:31:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:31:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:35:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:35:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:35:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:36:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:36:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:36:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:40:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:40:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:40:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:41:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:41:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:41:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:45:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:45:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:45:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:46:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:46:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:46:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:50:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:50:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:50:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:51:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:51:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:51:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:55:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:55:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:55:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T03:56:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T03:56:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T03:56:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:00:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:00:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:00:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:01:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:01:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:01:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:05:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:05:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:05:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:06:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:06:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:06:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:10:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:10:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:10:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:11:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:11:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:11:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:15:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:15:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:15:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:16:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:16:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:16:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:20:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:20:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:20:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:21:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:21:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:21:07Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:25:10Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:25:10Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:25:10Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:25:10Z,2018-03
Ikioi,1.41,Kotoyuki,2.91,2018-03-19T04:25:10Z,2018-03
Kaisei,1.46,Ryuden,2.72,2018-03-19T04:25:10Z,2018-03
Kakuryu,1.24,Shodai,4.05,2018-03-19T04:25:10Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:26:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:26:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:26:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:26:05Z,2018-03
Kaisei,1.44,Ryuden,2.79,2018-03-19T04:26:05Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:30:13Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:30:13Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:30:13Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:30:13Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:30:14Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:30:14Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:30:14Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:30:14Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:35:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:35:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:35:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:35:08Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:36:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:36:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:36:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:36:07Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:40:08Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:40:08Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:40:08Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:40:08Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:41:06Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:41:06Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:41:06Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:41:06Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:45:11Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:45:11Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:45:11Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:45:11Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:45:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:45:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:45:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:45:12Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:50:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:50:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:50:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:50:09Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:51:07Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:51:07Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:51:07Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:51:07Z,2018-03
Kaisei,1.44444444444444,Ryuden,2.78,2018-03-19T04:53:05Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:55:09Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:55:09Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:55:09Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:55:09Z,2018-03
Kaisei,1.44444444444444,Ryuden,2.78,2018-03-19T04:55:09Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T04:56:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T04:56:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T04:56:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T04:56:05Z,2018-03
Kaisei,1.44444444444444,Ryuden,2.78,2018-03-19T04:56:05Z,2018-03
Ichinojo,1.46,Takakeisho,2.74,2018-03-19T04:57:07Z,2018-03
Kakuryu,1.26,Shodai,3.88,2018-03-19T04:58:05Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T05:00:12Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T05:00:12Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T05:00:12Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T05:00:12Z,2018-03
Kaisei,1.44444444444444,Ryuden,2.78,2018-03-19T05:00:12Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T05:01:05Z,2018-03
Arawashi,2.53,Takarafuji,1.52,2018-03-19T05:01:05Z,2018-03
Chiyonokuni,1.73,Yoshikaze,2.11,2018-03-19T05:01:05Z,2018-03
Daishomaru,1.53333333333333,Myogiryu,2.5,2018-03-19T05:01:05Z,2018-03
Kaisei,1.44444444444444,Ryuden,2.78,2018-03-19T05:01:05Z,2018-03
Aminishiki,1.99,Hidenoumi,1.82,2018-03-19T05:05:09Z,2018-03
