rikishi1,odds1,rikishi2,odds2,ts,basho
Sokokurai,1.74,Takakeisho,2.1,2017-05-15T09:00:01Z,2017-05
Takekaze,1.8,Hokutofuji,2.01,2017-05-15T09:00:01Z,2017-05
Terunofuji,1.76,Tamawashi,2.06,2017-05-15T09:00:01Z,2017-05
Tochiozan,1.7,Takarafuji,2.15,2017-05-15T09:00:01Z,2017-05
Tokushoryu,1.79,Toyohibiki,2.03,2017-05-15T09:00:01Z,2017-05
Ura,1.71,Kagayaki,2.14,2017-05-15T09:00:01Z,2017-05
Arawashi,2.15,Tokushoryu,1.7,2017-05-15T12:00:01Z,2017-05
Chiyotairyu,1.75,Yutakayama,2.08,2017-05-15T12:00:01Z,2017-05
Goeido,1.48,Yoshikaze,2.65,2017-05-15T12:00:01Z,2017-05
Hakuho,1.2,Chiyoshoma,4.6,2017-05-15T12:00:01Z,2017-05
Harumafuji,1.35,Okinoumi,3.2,2017-05-15T12:00:01Z,2017-05
Ikioi,1.58,Takakeisho,2.38,2017-05-15T12:00:01Z,2017-05
Kaisei,2.3,Myogiryu,1.62,2017-05-15T12:00:01Z,2017-05
Kakuryu,1.35,Endo,3.2,2017-05-15T12:00:01Z,2017-05
Kisenosato,1.4,Chiyonokuni,2.96,2017-05-15T12:00:01Z,2017-05
Kotoshogiku,3.05,Takayasu,1.38,2017-05-15T12:00:01Z,2017-05
Kotoyuki,1.87,Daishomaru,1.93,2017-05-15T12:00:01Z,2017-05
Mitakeumi,1.4,Tamawashi,2.96,2017-05-15T12:00:01Z,2017-05
Shodai,1.58,Aoiyama,2.38,2017-05-15T12:00:01Z,2017-05
Shohozan,1.9,Hokutofuji,1.9,2017-05-15T12:00:01Z,2017-05
Sokokurai,1.77,Kagayaki,2.05,2017-05-15T12:00:01Z,2017-05
Takarafuji,1.84,Takanoiwa,1.96,2017-05-15T12:00:01Z,2017-05
Tochiozan,1.47,Takekaze,2.69,2017-05-15T12:00:01Z,2017-05
Toyohibiki,2.09,Onosho,1.74,2017-05-15T12:00:01Z,2017-05
Ura,1.57,Ishiura,2.41,2017-05-15T12:00:01Z,2017-05
Kakuryu,1.38,Endo,3.06,2017-05-15T16:00:02Z,2017-05
Goeido,1.51,Yoshikaze,2.58,2017-05-15T20:00:01Z,2017-05
Kakuryu,1.41,Endo,2.93,2017-05-15T20:00:01Z,2017-05
Kotoyuki,1.88,Daishomaru,1.92,2017-05-15T20:00:01Z,2017-05
Mitakeumi,1.37,Tamawashi,3.1,2017-05-15T20:00:01Z,2017-05
Toyohibiki,2.07,Onosho,1.76,2017-05-15T20:00:01Z,2017-05
Tochiozan,1.45,Takekaze,2.76,2017-05-15T22:00:01Z,2017-05
Toyohibiki,2.03,Onosho,1.79,2017-05-15T22:00:01Z,2017-05
Hakuho,1.18181818181818,Chiyoshoma,4.85,2017-05-16T04:00:01Z,2017-05
Kisenosato,1.37,Chiyonokuni,3.1,2017-05-16T04:00:01Z,2017-05
Kotoshogiku,3.26,Takayasu,1.34,2017-05-16T04:00:01Z,2017-05
Mitakeumi,1.28,Tamawashi,3.68,2017-05-16T04:00:01Z,2017-05
Kotoshogiku,3.52,Takayasu,1.3,2017-05-16T05:00:01Z,2017-05
Arawashi,2.24,Tokushoryu,1.65,2017-05-16T06:00:01Z,2017-05
Kakuryu,1.41,Endo,2.91,2017-05-16T06:00:01Z,2017-05
Mitakeumi,1.29,Tamawashi,3.6,2017-05-16T06:00:01Z,2017-05
Sokokurai,1.76,Kagayaki,2.06,2017-05-16T06:00:01Z,2017-05
Ura,1.55,Ishiura,2.45,2017-05-16T06:00:01Z,2017-05
Arawashi,2.24,Tokushoryu,1.65,2017-05-16T08:00:02Z,2017-05
